m4l_gev,channel,m_z1_gev,m_z2_gev,source_record,run,luminosityBlock,event
129.549,4mu,92.403,28.598,30522,279794,159,172405449
129.562,4mu,92.841,28.347,30522,278875,10,18795247
129.585,2e2mu,90.780,30.754,30522,278822,1313,2222518414
129.595,4mu,91.684,19.644,30555,282037,656,1180525759
129.601,4mu,88.606,17.888,30522,278875,552,976927602
129.687,4mu,92.415,14.995,30555,281707,154,97304026
129.743,4mu,91.790,14.131,30555,283307,107,198699013
129.813,4mu,60.363,54.926,30555,281975,140,236832022
129.940,2e2mu,91.126,27.016,30554,282092,364,474634113
129.961,2e2mu,91.188,19.206,30554,282037,1828,3220545777
129.976,2e2mu,89.446,20.066,30554,282730,131,102788656
130.117,2e2mu,62.018,57.684,30555,281976,48,96532528
130.195,4mu,91.826,29.157,30522,279841,788,1320815383
130.196,4mu,91.752,22.229,30555,282092,1513,2491657141
130.206,4mu,87.092,41.992,30555,282731,20,40553165
130.207,4mu,87.533,34.940,30555,283358,457,842179692
130.277,4mu,90.579,29.274,30522,279760,196,246976205
130.551,4mu,90.390,33.205,30522,279667,230,297408114
130.602,2e2mu,85.682,15.443,30554,282037,35,72249372
130.668,4e,93.247,17.173,30554,282814,630,1224507499
130.886,4e,93.838,29.296,30554,283453,299,418757202
130.912,4mu,90.463,35.749,30522,278875,272,503861331
130.965,4mu,89.176,19.894,30555,283885,480,871711278
131.114,4mu,94.491,33.175,30555,283865,509,877832583
131.121,4mu,68.187,33.356,30555,284039,11,19755915
131.203,4mu,91.756,32.820,30555,283408,1332,2298921279
131.216,4mu,91.687,32.904,30555,283946,275,336673023
131.335,4mu,82.943,40.859,30555,283408,511,844646902
131.378,2e2mu,89.410,24.990,30555,283865,171,296524269
131.401,2e2mu,79.629,23.798,30554,283353,819,1333041319
131.539,4mu,89.003,13.151,30555,281693,100,191116445
131.548,4mu,92.422,23.534,30555,283353,96,66540180
131.549,4mu,94.487,12.933,30555,283865,676,1186362046
131.650,4mu,89.296,27.223,30522,279658,603,1087448987
131.701,4mu,90.989,39.504,30522,278969,837,1401149484
131.724,2e2mu,88.712,25.454,30522,280251,97,180311989
131.732,4mu,87.222,40.619,30522,278875,744,1363091616
131.732,4mu,87.462,14.613,30555,281797,134,36213728
131.817,4mu,69.741,37.268,30522,278875,565,1003839216
131.856,4mu,94.838,35.121,30555,283820,215,362578828
131.886,4mu,90.031,31.395,30522,279667,687,1149454363
132.040,4mu,92.151,14.618,30555,283270,182,213500978
132.042,4mu,92.383,16.914,30555,282037,753,1359879407
132.056,4mu,90.829,33.825,30555,281693,424,795075769
132.082,4mu,106.852,15.987,30555,283043,63,103360022
132.098,4mu,92.077,30.499,30522,279931,166,185022710
132.161,4mu,48.047,31.067,30555,283453,101,74369748
132.300,4mu,91.345,37.813,30522,278874,407,777122008
132.383,4mu,89.735,27.522,30522,280330,282,537292405
132.406,2e2mu,106.951,21.104,30554,282732,33,59136679
132.446,4mu,90.546,41.687,30522,280385,132,242289559
132.452,2e2mu,87.385,20.193,30554,283408,349,578883894
132.496,4e,75.066,52.358,30554,283946,876,1384411459
132.534,4mu,80.115,42.465,30555,283820,1456,2564111022
132.602,4mu,91.194,15.163,30522,279844,256,340633723
132.603,4mu,82.655,27.117,30522,279975,799,1340365830
132.612,4mu,93.213,14.856,30555,283358,162,290286363
132.620,4mu,95.371,29.319,30522,278986,158,198420849
132.621,4mu,87.079,19.763,30555,283050,35,48775281
132.624,2e2mu,105.090,13.807,30554,283933,232,282501036
132.671,4mu,83.436,44.477,30555,281797,1094,1786637665
132.672,4mu,88.232,17.335,30555,281641,92,152261749
132.701,4mu,96.509,12.729,30555,283820,1140,2011284621
132.731,2e2mu,85.598,14.861,30554,283408,71,108127393
132.742,2e2mu,93.352,33.953,30522,279931,3015,5118461211
132.743,4mu,85.633,26.506,30555,282035,9,18310888
132.855,4mu,77.166,28.354,30555,282712,6,10603086
132.960,2e2mu,88.400,35.985,30554,283308,600,1157194860
133.151,4mu,98.712,26.249,30522,280242,471,852032194
133.273,4mu,89.187,32.766,30522,279588,1129,1998529687
133.419,4mu,94.349,15.431,30555,283408,678,1136559954
133.523,4mu,89.921,14.861,30522,278969,859,1440321989
133.538,4mu,91.375,15.948,30555,283408,694,1165502869
133.653,2e2mu,89.613,13.374,30521,280385,1703,3126678580
133.673,4mu,75.198,52.308,30522,279966,132,134230872
133.695,4mu,91.025,29.988,30522,279887,346,467715715
133.725,4mu,92.643,36.694,30522,278969,156,175618836
133.821,4mu,109.474,12.307,30555,282092,213,220900112
133.925,2e2mu,90.678,15.916,30554,281639,104,167413997
133.938,4mu,98.955,34.378,30522,280002,78,57040650
134.005,4mu,73.833,53.973,30522,279760,273,385458865
134.055,2e2mu,64.209,58.807,30554,281976,911,1616998423
134.121,4mu,91.749,15.131,30555,283946,111,67488036
134.395,2e2mu,90.460,30.482,30554,281693,581,1096627394
134.461,4mu,88.714,15.257,30522,279115,388,590147312
134.516,4mu,87.495,40.571,30555,283307,187,340989507
134.528,4mu,86.797,15.529,30522,279794,400,615458343
134.572,4mu,98.441,35.373,30555,281797,167,88048651
134.592,4mu,68.790,65.406,30522,280385,1593,2946423907
134.628,4mu,89.571,28.083,30555,283050,154,270033049
134.702,4mu,84.477,27.890,30555,281639,38,56511594
134.803,4mu,89.658,17.661,30555,283876,67,31272048
134.950,2e2mu,69.352,27.794,30522,280015,140,255734808
134.991,2e2mu,65.931,64.571,30522,279667,928,1612719669
